date,open,high,low,close,volume,macd,signal,hist
2022-04-03,45810.99,47444.11,45530.92,46407.35,33394.67794,0.0,0.0,0.0
2022-04-04,46407.36,46890.71,45118.0,46580.51,44641.87514,13.813333333331684,2.762666666666337,11.050666666665347
2022-04-05,46580.5,47200.0,45353.81,45497.55,42192.74852,-61.91164292497706,-10.172195251662343,-51.739447673314714
2022-04-06,45497.54,45507.14,43121.0,43170.47,60849.32936,-306.17079363532685,-69.37191492839524,-236.7988787069316
2022-04-07,43170.47,43900.99,42727.35,43444.19,37396.54156,-472.21758358064835,-149.9410486588459,-322.27653492180247
2022-04-08,43444.2,43970.62,42107.14,42252.01,42375.04203,-692.0325035254937,-258.3593396321755,-433.6731638933182
2022-04-09,42252.02,42800.0,42125.48,42753.97,17891.66047,-816.3233666899614,-369.9521450437327,-446.3712216462287
2022-04-10,42753.96,43410.3,41868.0,42158.85,22771.09403,-951.8733778109599,-486.3363915971782,-465.53698621378174
2022-04-11,42158.85,42414.71,39200.0,39530.45,63560.44721,-1256.8989035859777,-640.4488939949381,-616.4500095910396
2022-04-12,39530.45,40699.0,39254.63,40074.94,57751.01778,-1438.1202824286665,-799.9831716816839,-638.1371107469827
2022-04-13,40074.95,41561.31,39588.54,41147.79,41342.27254,-1478.1305332891425,-935.6126440031758,-542.5178892859667
2022-04-14,41147.78,41500.0,39551.94,39942.38,36807.01401,-1588.790866205025,-1066.2482884435458,-522.5425777614792
2022-04-15,39942.37,40870.36,39766.4,40551.9,24026.35739,-1608.7620003561606,-1174.751030826069,-434.01096953009164
2022-04-16,40551.9,40709.35,39991.55,40378.71,15805.44718,-1619.891156738311,-1263.7790560085173,-356.11210072979384
2022-04-17,40378.7,40595.67,39546.17,39678.12,19988.49259,-1666.0378045392863,-1344.230805714671,-321.8069988246152
2022-04-18,39678.11,41116.73,38536.51,40801.13,54243.49575,-1593.6215564683662,-1394.1089558654103,-199.5126006029559
2022-04-19,40801.13,41760.0,40571.0,41493.18,35788.85843,-1463.5179825499217,-1407.9907612023128,-55.52722134760893
2022-04-20,41493.19,42199.0,40820.0,41358.19,40877.35041,-1355.675148482187,-1397.5276386582877,41.85249017610067
2022-04-21,41358.19,42976.0,39751.0,40480.01,59316.27657,-1325.787855141578,-1383.1796819549459,57.39182681336797
2022-04-22,40480.01,40795.06,39177.0,39709.18,46664.0196,-1348.7539033203939,-1376.2945262280355,27.54062290764159
2022-04-23,39709.19,39980.0,39285.0,39441.6,20291.42375,-1372.722244163393,-1375.580069815107,2.857825651713938
2022-04-24,39441.61,39940.0,38929.62,39450.13,26703.61186,-1375.1768446054775,-1375.4994247731813,0.3225801677037907
2022-04-25,39450.12,40616.0,38200.0,40426.08,63037.12784,-1283.5748723637516,-1357.1145142912953,73.5396419275437
2022-04-26,40426.08,40797.31,37702.26,38112.65,66650.258,-1381.7264340277616,-1362.0368982385887,-19.68953578917285
2022-04-27,38112.64,39474.72,37881.31,39235.72,57083.12272,-1353.290005883864,-1360.2875197676437,6.997513883779675
2022-04-28,39235.72,40372.63,38881.43,39742.07,56086.6715,-1275.196052142819,-1343.2692262426788,68.07317409985967
2022-04-29,39742.06,39925.25,38175.0,38596.11,51453.65715,-1290.8947943440726,-1332.7943398629577,41.899545518885134
2022-04-30,38596.11,38795.38,37578.2,37630.8,35321.18989,-1365.4881132271767,-1339.3330945358016,-26.155018691375062
2022-05-01,37630.8,38675.0,37386.38,38468.35,38812.24104,-1341.555948668618,-1339.777665362365,-1.778283306252888
2022-05-02,38468.35,39167.34,38052.0,38525.16,53200.92628,-1302.9854385595609,-1332.4192200018042,29.433781442243344
2022-05-03,38525.16,38651.51,37517.8,37728.95,40316.45358,-1321.432868661468,-1330.2219497337371,8.789081072269028
2022-05-04,37728.95,40023.77,37670.0,39690.0,62574.61736,-1164.3898823463169,-1297.0555362562532,132.66565390993628
2022-05-05,39690.0,39845.51,35571.9,36552.97,88722.43355,-1278.3285126424598,-1293.3101315334945,14.981618891034714
2022-05-06,36552.97,36675.63,35258.0,36013.77,68437.80187,-1396.0419293970772,-1313.8564911062113,-82.18543829086593
2022-05-07,36013.77,36146.3,34785.0,35472.39,34281.70682,-1515.5452396248002,-1354.1942408099292,-161.350998814871
2022-05-08,35472.4,35514.22,33713.95,34038.4,72445.64344,-1706.2943830838485,-1424.6142692647131,-281.6801138191354
2022-05-09,34038.39,34243.15,30033.33,30076.31,191876.926428,-2152.3609270123416,-1570.1636008142389,-582.1973261981027
2022-05-10,30074.23,32658.99,29730.4,31017.1,165532.00311,-2402.266157417718,-1736.584112134935,-665.6820452827833
2022-05-11,31017.11,32162.59,27785.0,29103.94,207063.739278,-2723.301353234834,-1933.927560354915,-789.3737928799192
2022-05-12,29103.94,30243.0,26700.0,29029.75,204507.263138,-2949.7081721430077,-2137.0836827125336,-812.6244894304741
2022-05-13,29029.74,31083.37,28751.67,29287.05,97872.36957,-3072.9521679013415,-2324.2573797502955,-748.6947881510459
2022-05-14,29287.05,30343.27,28630.0,30086.74,51095.87863,-3070.698521639053,-2473.545608128047,-597.1529135110059
2022-05-15,30086.74,31460.0,29480.0,31328.89,46275.66912,-2934.8502401328187,-2565.8065345290015,-369.0437056038172
2022-05-16,31328.89,31328.9,29087.04,29874.01,73082.19658,-2911.0296179825455,-2634.85115121971,-276.17846676283534
2022-05-17,29874.01,30788.37,29450.38,30444.93,56724.13307,-2813.6491348963536,-2670.610747955039,-143.03838694131446
2022-05-18,30444.93,30709.99,28654.47,28715.32,59749.15799,-2843.264093904083,-2705.141417144848,-138.12267675923476
2022-05-19,28715.33,30545.18,28691.38,30319.23,67877.36415,-2706.1175906320204,-2705.3366518422827,-0.7809387897377746
